Tamanodemuestra,Parametro,Valorverdadero,Sesgo,Sesgorelativo,RECM,Cobertura
200,omega0,-3,-0.1001,-3.3,0.7017,94.4
200,omega1,-1.2,-0.0175,-1.5,0.5854,93.2
200,omega2,1.5,0.0464,3.1,0.2217,95
200,omega3,-2.9,-0.083,-2.9,0.4153,94.5
200,beta0,-1,0.0018,0.2,0.3266,93.8
200,beta1,-2.9,-0.0234,-0.8,0.2835,93.6
200,beta2,1.1,-0.0043,-0.4,0.0986,94.1
200,beta3,-1.1,0.0088,0.8,0.2039,93.9
200,kappa,0.5,0.0523,10.5,0.2733,97
200,sigma,0.7,-0.0332,-4.7,0.0669,88.6
500,omega0,-3,-0.0219,-0.7,0.427,94
500,omega1,-1.2,-0.0302,-2.5,0.3613,94.5
500,omega2,1.5,0.0141,0.9,0.1328,93.8
500,omega3,-2.9,-0.022,-0.8,0.2465,94.2
500,beta0,-1,-0.0144,-1.4,0.1796,94.9
500,beta1,-2.9,0.0084,0.3,0.1725,93
500,beta2,1.1,0,0,0.0543,94.4
500,beta3,-1.1,0.0034,0.3,0.126,94.6
500,kappa,0.5,0.0161,3.2,0.1515,95.3
500,sigma,0.7,-0.012,-1.7,0.0353,92.2
1000,omega0,-3,-0.0129,-0.4,0.3069,94.5
1000,omega1,-1.2,-0.0007,-0.1,0.2442,95.5
1000,omega2,1.5,0.0042,0.3,0.0939,95.1
1000,omega3,-2.9,-0.0057,-0.2,0.1758,94.3
1000,beta0,-1,-0.0025,-0.3,0.1295,94.9
1000,beta1,-2.9,-0.002,-0.1,0.1241,93.6
1000,beta2,1.1,0.0001,0,0.0389,94.4
1000,beta3,-1.1,0.002,0.2,0.0786,95.7
1000,kappa,0.5,0.0018,0.4,0.1052,95
1000,sigma,0.7,-0.0048,-0.7,0.0239,93.1
3000,omega0,-3,-0.0085,-0.3,0.1706,94.8
3000,omega1,-1.2,0.0086,0.7,0.1432,94.2
3000,omega2,1.5,0.0027,0.2,0.0528,94.8
3000,omega3,-2.9,-0.0045,-0.2,0.0975,94.6
3000,beta0,-1,0.0011,0.1,0.0695,95.3
3000,beta1,-2.9,-0.0038,-0.1,0.069,95.5
3000,beta2,1.1,0.0001,0,0.0215,95.2
3000,beta3,-1.1,0.0002,0,0.0466,95.3
3000,kappa,0.5,0.0012,0.2,0.0584,94.9
3000,sigma,0.7,-0.0019,-0.3,0.0132,94.7
